Sim	Run	Time	totMass	NInd	abovemass	belowmass	pcBare	mean_WL	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted
0	1	15	3.52299e+006	632	1.44435e+006	1.81396e+006	0.0922241	-60	100	0.186974	0.197886	1	1	1.46798e+006
0	1	16	3.48622e+006	708	1.41967e+006	1.81059e+006	0.0794678	-60	100	0.205236	0.196857	1	1	1.43646e+006
0	1	17	3.52286e+006	674	1.4481e+006	1.80864e+006	0.0700684	-60	100	0.206795	0.196146	1	1	1.4681e+006
0	1	18	3.42282e+006	649	1.40539e+006	1.76126e+006	0.0716553	-60	100	0.198628	0.196085	1	1	1.44059e+006
0	1	19	3.42176e+006	646	1.40035e+006	1.76288e+006	0.0792847	-60	100	0.180429	0.195566	1	1	1.44421e+006
0	1	20	3.42214e+006	651	1.41114e+006	1.74655e+006	0.0749512	-60	100	0.186184	0.194694	1	1	1.43967e+006
0	1	21	3.53708e+006	695	1.47462e+006	1.80593e+006	0.0818481	-60	100	0.190462	0.19613	1	1	1.52205e+006
0	1	22	3.26441e+006	753	1.34454e+006	1.66763e+006	0.0946655	-60	100	0.193566	0.194659	1	1	1.39566e+006
0	1	23	3.41825e+006	658	1.41525e+006	1.74249e+006	0.0805664	-60	100	0.186285	0.193423	1	1	1.45427e+006
0	1	24	3.42904e+006	605	1.4319e+006	1.73174e+006	0.0731201	-60	100	0.191026	0.192559	1	1	1.49483e+006
0	1	25	3.49546e+006	645	1.46119e+006	1.76432e+006	0.0661621	-60	100	0.18955	0.192816	1	1	1.4652e+006
0	1	26	3.28708e+006	696	1.36682e+006	1.67507e+006	0.0779419	-60	100	0.191613	0.191454	1	1	1.39231e+006
0	1	27	3.42225e+006	636	1.42142e+006	1.74193e+006	0.0886841	-60	100	0.169717	0.187746	1	1	1.46369e+006
0	1	28	3.40095e+006	638	1.40855e+006	1.74408e+006	0.0715332	-60	100	0.195973	0.187481	1	1	1.43602e+006
0	1	29	3.41372e+006	604	1.40411e+006	1.75082e+006	0.0778198	-60	100	0.18814	0.188252	1	1	1.45014e+006
0	1	30	3.38493e+006	738	1.39725e+006	1.73246e+006	0.0865479	-60	100	0.207973	0.190431	1	1	1.38732e+006
0	1	31	3.26909e+006	669	1.347e+006	1.67053e+006	0.076416	-60	100	0.196046	0.190989	1	1	1.39437e+006
0	1	32	3.442e+006	654	1.42247e+006	1.75529e+006	0.0791626	-60	100	0.179652	0.189598	1	1	1.43662e+006
0	1	33	3.37722e+006	692	1.4079e+006	1.72145e+006	0.0758057	-60	100	0.173418	0.188311	1	1	1.4072e+006
0	1	0	122282	3	68109.7	46894.9	0.977661	-60	100	0	nan	1	nan	0
0	1	1	1.14522e+006	1127	354169	682123	0.29364	-60	100	0.193039	nan	1	nan	355014
0	1	2	3.09729e+006	405	1.26069e+006	1.56702e+006	0.0765991	-60	100	0.24364	nan	1	nan	1.31576e+006
0	1	3	3.6789e+006	600	1.63053e+006	1.76195e+006	0.0753174	-60	100	0.21442	nan	1	nan	1.69501e+006
0	1	4	4.08963e+006	569	1.77662e+006	2.00252e+006	0.0587158	-60	100	0.219473	nan	1	nan	1.79407e+006
0	1	5	4.05962e+006	597	1.74113e+006	2.02066e+006	0.0631714	-60	100	0.201013	nan	1	nan	1.78077e+006
0	1	6	4.03586e+006	590	1.71699e+006	2.02098e+006	0.0685425	-60	100	0.235668	nan	1	nan	1.77161e+006
0	1	7	4.02636e+006	630	1.70467e+006	2.01963e+006	0.0718384	-60	100	0.196899	nan	1	nan	1.72279e+006
0	1	8	3.99137e+006	600	1.67518e+006	2.02717e+006	0.0654907	-60	100	0.206835	nan	1	nan	1.7146e+006
0	1	9	3.91839e+006	692	1.63256e+006	1.9983e+006	0.057312	-60	100	0.193019	0.1904	1	1	1.61721e+006
0	1	10	3.86449e+006	642	1.61503e+006	1.96832e+006	0.0715332	-60	100	0.194456	0.209846	1	1	1.61408e+006
0	1	11	3.54711e+006	721	1.4545e+006	1.8226e+006	0.0745239	-60	100	0.209335	0.211476	1	1	1.49134e+006
0	1	12	3.59613e+006	639	1.47767e+006	1.85113e+006	0.0693359	-60	100	0.204058	0.207517	1	1	1.52109e+006
0	1	0	118915	3	63917.7	48019.4	0.978638	-60	80	0	nan	1	nan	0
0	1	1	719572	1055	216806	434890	0.468567	-60	80	0.178161	nan	1	nan	215257
0	1	2	2.06392e+006	410	787547	1.08754e+006	0.189941	-60	80	0.236145	nan	1	nan	832235
0	1	3	3.04078e+006	569	1.32123e+006	1.45339e+006	0.129761	-60	80	0.218091	nan	1	nan	1.3504e+006
0	1	4	3.0487e+006	791	1.31356e+006	1.50341e+006	0.128296	-60	80	0.23757	nan	1	nan	1.38129e+006
0	1	5	3.01981e+006	541	1.2926e+006	1.49988e+006	0.134888	-60	80	0.250337	nan	1	nan	1.35737e+006
0	1	6	3.13705e+006	584	1.31916e+006	1.58539e+006	0.127747	-60	80	0.245678	nan	1	nan	1.38902e+006
0	1	7	3.16142e+006	603	1.32215e+006	1.5996e+006	0.13678	-60	80	0.245189	nan	1	nan	1.33405e+006
0	1	0	118915	3	63917.7	48019.4	0.978638	-60	80	0	nan	1	nan	0
0	1	1	719572	1055	216806	434890	0.468567	-60	80	0.178161	nan	1	nan	215257
0	1	2	2.06392e+006	410	787547	1.08754e+006	0.189941	-60	80	0.236145	nan	1	nan	832235
